Name,Research unit(s),URL,Research
David Michael Bellos,French & Italian,https://collaborate.princeton.edu/en/persons/david-michael-bellos,French Italian
Roland Jean-Marc Benabou,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/roland-jean-marc-benabou,Princeton School of Public and International Affairs
Andre Benhaim,French & Italian,https://collaborate.princeton.edu/en/persons/andre-benhaim,French Italian
Ruha Benjamin,African American Studies,https://collaborate.princeton.edu/en/persons/ruha-benjamin,African American Studies
Sandra Lekas Bermann,Comparative Literature,https://collaborate.princeton.edu/en/persons/sandra-lekas-bermann,Comparative Literature
Bogdan Andrei Bernevig,"Physics, Princeton Center for Theoretical Science",https://collaborate.princeton.edu/en/persons/bogdan-andrei-bernevig,"Physics, Princeton Center Theoretical Science"
Michael James Berry,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/michael-james-berry,Princeton Neuroscience Institute
Wallace DeNino Best,Religion,https://collaborate.princeton.edu/en/persons/wallace-denino-best,Religion
Manjul Bhargava,Mathematics,https://collaborate.princeton.edu/en/persons/manjul-bhargava,Mathematics
Ravindra N. Bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/ravindra-n-bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute"
Amitava Bhattacharjee,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/amitava-bhattacharjee,Astrophysical Sciences
William Bialek,"Physics, Lewis-Sigler Institute for Integrative Genomics, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/william-bialek,"Physics, Lewis-Sigler Institute Integrative Genomics, Princeton Neuroscience Institute"
He Bian,History,https://collaborate.princeton.edu/en/persons/he-bian,History
Joshua Henry Billings,Classics,https://collaborate.princeton.edu/en/persons/joshua-henry-billings,Classics
Michael Albert Blaakman,History,https://collaborate.princeton.edu/en/persons/michael-albert-blaakman,History
Christopher William Blair,Politics,https://collaborate.princeton.edu/en/persons/christopher-william-blair,Politics
Zachary Bleemer,Economics,https://collaborate.princeton.edu/en/persons/zachary-bleemer,Economics
Alan Stuart Blinder,"Economics, Bendheim Center for Finance, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/alan-stuart-blinder,"Economics, Bendheim Center Finance, Princeton Materials Institute"
Goran Magnus Blix,French & Italian,https://collaborate.princeton.edu/en/persons/goran-magnus-blix,French Italian
Andrew Bruce Bocarsly,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrew-bruce-bocarsly,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute"
Carles Boix,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/carles-boix,Princeton School of Public and International Affairs
Yarimar Bonilla,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/yarimar-bonilla,Effron Center Study of America
Amy Beth Borovoy,East Asian Studies,https://collaborate.princeton.edu/en/persons/amy-beth-borovoy,East Asian Studies
Grace Bosse,Physics,https://collaborate.princeton.edu/en/persons/grace-bosse,Physics
Lisa M. Boulanger,"Princeton Neuroscience Institute, Molecular Biology",https://collaborate.princeton.edu/en/persons/lisa-m-boulanger,"Princeton Neuroscience Institute, Molecular Biology"
Emmanuel C. Bourbouhakis,Classics,https://collaborate.princeton.edu/en/persons/emmanuel-c-bourbouhakis,Classics
Ian Charles Bourg,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/ian-charles-bourg,Civil Environmental Engineering
Leah Platt Boustan,Economics,https://collaborate.princeton.edu/en/persons/leah-platt-boustan,Economics
Elie R. Bou-Zeid,"Civil & Environmental Engineering, High Meadows Environmental Institute, Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/elie-r-bou-zeid,"Civil Environmental Engineering, High Meadows Environmental Institute, Mechanical Aerospace Engineering, Princeton Materials Institute"
Jacob A. Boyer,Princeton Branch of the Ludwig Institute for Cancer Research,https://collaborate.princeton.edu/en/persons/jacob-a-boyer,Princeton Branch of Ludwig Institute Cancer Research
Benjamin Hofman Bradlow,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/benjamin-hofman-bradlow,Princeton School of Public and International Affairs
Clifford Paul Brangwynne,"Chemical & Biological Engineering, Lewis-Sigler Institute for Integrative Genomics, Molecular Biology, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/clifford-paul-brangwynne,"Chemical Biological Engineering, Lewis-Sigler Institute Integrative Genomics, Molecular Biology, Princeton Materials Institute"
Mark Braverman,Computer Science,https://collaborate.princeton.edu/en/persons/mark-braverman,Computer Science
Monica Cecilia Bravo,Art and Archaeology,https://collaborate.princeton.edu/en/persons/monica-cecilia-bravo,Art and Archaeology
Tyondai Adaien Braxton,Music,https://collaborate.princeton.edu/en/persons/tyondai-adaien-braxton,Music
Christopher Greg Brinton,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/christopher-greg-brinton,Electrical and Computer Engineering
Claudia Joan Brodsky,Comparative Literature,https://collaborate.princeton.edu/en/persons/claudia-joan-brodsky,Comparative Literature
Carlos D. Brody,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/carlos-d-brody,Princeton Neuroscience Institute
John Francis Brooks,Molecular Biology,https://collaborate.princeton.edu/en/persons/john-francis-brooks,Molecular Biology
Marina S. Brownlee,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/marina-s-brownlee,Spanish Portuguese
Pierre-Thomas Brun,"Chemical & Biological Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/pierre-thomas-brun,"Chemical Biological Engineering, Princeton Materials Institute"
Markus Konrad Brunnermeier,"Economics, Bendheim Center for Finance, Princeton Entrepreneurship Council",https://collaborate.princeton.edu/en/persons/markus-konrad-brunnermeier,"Economics, Bendheim Center Finance, Princeton Entrepreneurship Council"
Smita Bhatnagar Brunnermeier,Economics,https://collaborate.princeton.edu/en/persons/smita-bhatnagar-brunnermeier,Economics
Mark Philip Brynildsen,"Chemical & Biological Engineering, Molecular Biology",https://collaborate.princeton.edu/en/persons/mark-philip-brynildsen,"Chemical Biological Engineering, Molecular Biology"
Lara Marie Buchak,Philosophy,https://collaborate.princeton.edu/en/persons/lara-marie-buchak,Philosophy
Nicholas Wyeth Buchholz,Economics,https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz,Economics
Dmitry Abanin,Physics,https://collaborate.princeton.edu/en/persons/dmitry-abanin,Physics
Mohamed S. Abou Donia,"Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/mohamed-s-abou-donia,"Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research"
Parastoo Abtahi,Computer Science,https://collaborate.princeton.edu/en/persons/parastoo-abtahi,Computer Science
Ryan P. Adams,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/ryan-p-adams,"Computer Science, Center Statistics Machine Learning"
Brittany Adamson,"Molecular Biology, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/britt-adamson,"Molecular Biology, Lewis-Sigler Institute Integrative Genomics"
Sigrid M. Adriaenssens,"Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/sigrid-m-adriaenssens,"Civil Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute"
Mark A. Aguiar,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/mark-a-aguiar,"Economics, Bendheim Center Finance"
Amir Ali Ahmadi,"Operations Research & Financial Engineering, Center for Statistics & Machine Learning, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/amir-ali-ahmadi,"Operations Research Financial Engineering, Center Statistics Machine Learning, Mechanical Aerospace Engineering"
Byron T. Ahn,Council of the Humanities,https://collaborate.princeton.edu/en/persons/byron-t-ahn,Council of Humanities
Yacine Ait-Sahalia,"Economics, Bendheim Center for Finance, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/yacine-ait-sahalia,"Economics, Bendheim Center Finance, Center Statistics Machine Learning"
Michael Aizenman,"Physics, Mathematics",https://collaborate.princeton.edu/en/persons/michael-aizenman,"Physics, Mathematics"
Joshua Akey,Lewis-Sigler Institute for Integrative Genomics,https://collaborate.princeton.edu/en/persons/joshua-akey,Lewis-Sigler Institute Integrative Genomics
Christine Allen-Blanchette,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/christine-allen-blanchette,Mechanical Aerospace Engineering
April Alliston,Comparative Literature,https://collaborate.princeton.edu/en/persons/april-alliston,Comparative Literature
Noga Mordechai Alon,Mathematics,https://collaborate.princeton.edu/en/persons/noga-mordechai-alon,Mathematics
Bridget Alsdorf,Art and Archaeology,https://collaborate.princeton.edu/en/persons/bridget-alsdorf,Art and Archaeology
Anthony E. Ambrosini,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/anthony-e-ambrosini,Princeton Neuroscience Institute
Alexandra Amon,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/alexandra-amon,Astrophysical Sciences
Maria Apostolaki,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/maria-apostolaki,Electrical and Computer Engineering
Andrew Wilson Appel,"Computer Science, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/andrew-wilson-appel,"Computer Science, Center Information Technology Policy"
Elizabeth Mitchell Armstrong,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/elizabeth-mitchell-armstrong,Princeton School of Public and International Affairs
Craig B. Arnold,"Mechanical & Aerospace Engineering, Andlinger Center for Energy & the Environment, Electrical and Computer Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/craig-b-arnold,"Mechanical Aerospace Engineering, Andlinger Center Energy Environment, Electrical and Computer Engineering, High Meadows Environmental Institute, Princeton Materials Institute"
Sanjeev Arora,"Computer Science, Bendheim Center for Finance, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/sanjeev-arora,"Computer Science, Bendheim Center Finance, Center Statistics Machine Learning"
Nathan Todd Arrington,Art and Archaeology,https://collaborate.princeton.edu/en/persons/nathan-todd-arrington,Art and Archaeology
Orley Clark Ashenfelter,Economics,https://collaborate.princeton.edu/en/persons/orley-clark-ashenfelter,Economics
Josh Atkinson,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/josh-atkinson,Civil Environmental Engineering
David I. August,"Computer Science, Electrical and Computer Engineering, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/david-i-august,"Computer Science, Electrical and Computer Engineering, Princeton Institute Computational Science and Engineering"
Robert Hamilton Austin,"Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/robert-hamilton-austin,"Physics, Princeton Materials Institute"
Jose L. Avalos,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jose-l-avalos,Chemical Biological Engineering
Julien F. Ayroles,Ecology & Evolutionary Biology,https://collaborate.princeton.edu/en/persons/julien-f-ayroles,Ecology Evolutionary Biology
Neta A. Bahcall,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/neta-a-bahcall,Astrophysical Sciences
Gaspar Aron Bakos,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/gaspar-aron-bakos,Astrophysical Sciences
Waseem S. Bakr,Physics,https://collaborate.princeton.edu/en/persons/waseem-s-bakr,Physics
David A. Baldwin,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/david-a-baldwin,Princeton School of Public and International Affairs
Yelena Baraz,Classics,https://collaborate.princeton.edu/en/persons/yelena-baraz,Classics
Charlie Barber,Art and Archaeology,https://collaborate.princeton.edu/en/persons/charlie-barber,Art and Archaeology
Edward George Baring,History,https://collaborate.princeton.edu/en/persons/edward-george-baring,History
Rhae Lynn Barnes,History,https://collaborate.princeton.edu/en/persons/rhae-lynn-barnes,History
Gary Jonathan Bass,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/gary-jonathan-bass,Princeton School of Public and International Affairs
Bonnie Lynn Bassler,"Molecular Biology, Chemistry, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/bonnie-lynn-bassler,"Molecular Biology, Chemistry, High Meadows Environmental Institute"
Leora Faye Batnitzky,Religion,https://collaborate.princeton.edu/en/persons/leora-faye-batnitzky,Religion
Basile Charles Baudez,Art and Archaeology,https://collaborate.princeton.edu/en/persons/basile-charles-baudez,Art and Archaeology
Ryne Beeson,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/ryne-beeson,Mechanical Aerospace Engineering
Mark R. Beissinger,Politics,https://collaborate.princeton.edu/en/persons/mark-r-beissinger,Politics
Charles R. Beitz,Politics,https://collaborate.princeton.edu/en/persons/charles-r-beitz,Politics
Wendy Laura Belcher,Comparative Literature,https://collaborate.princeton.edu/en/persons/wendy-laura-belcher,Comparative Literature
Aisha M. Beliso-De Jesus,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/aisha-m-beliso-de-jesus,Effron Center Study of America
David A. Bell,History,https://collaborate.princeton.edu/en/persons/david-a-bell,History
Matija Bucic,Mathematics,https://collaborate.princeton.edu/en/persons/matija-bucic,Mathematics
David Builes,Philosophy,https://collaborate.princeton.edu/en/persons/david-builes,Philosophy
Rebecca D. Burdine,Molecular Biology,https://collaborate.princeton.edu/en/persons/rebecca-d-burdine,Molecular Biology
John P. Burgess,Philosophy,https://collaborate.princeton.edu/en/persons/john-p-burgess,Philosophy
D. Graham Burnett,History,https://collaborate.princeton.edu/en/persons/d-graham-burnett,History
Adam S. Burrows,"Astrophysical Sciences, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/adam-s-burrows,"Astrophysical Sciences, Princeton Institute Computational Science and Engineering"
Timothy J. Buschman,Psychology,https://collaborate.princeton.edu/en/persons/timothy-j-buschman,Psychology
Eduardo Lujan Cadava,English,https://collaborate.princeton.edu/en/persons/eduardo-lujan-cadava,English
Sebastian Caldas,Computer Science,https://collaborate.princeton.edu/en/persons/sebastian-caldas,Computer Science
Curtis Gove Callan,"Physics, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/curtis-gove-callan,"Physics, High Meadows Environmental Institute, Lewis-Sigler Institute Integrative Genomics"
Charles M. Cameron,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/charles-m-cameron,Princeton School of Public and International Affairs
Shane Cornell Campbell-Staton,"Ecology & Evolutionary Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/shane-cornell-campbell-staton,"Ecology Evolutionary Biology, Princeton Branch of Ludwig Institute Cancer Research"
Tina Marie Campt,Art and Archaeology,https://collaborate.princeton.edu/en/persons/tina-marie-campt,Art and Archaeology
Margot Canaday,History,https://collaborate.princeton.edu/en/persons/margot-canaday,History
Vera Silvina Candiani,History,https://collaborate.princeton.edu/en/persons/vera-silvina-candiani,History
Roberto Car,"Chemistry, Physics, Princeton Institute for Computational Science and Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/roberto-car,"Chemistry, Physics, Princeton Institute Computational Science and Engineering, Princeton Materials Institute"
Jannette Carey,"Chemistry, Molecular Biology, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/jannette-carey,"Chemistry, Molecular Biology, Princeton Materials Institute"
Rebecca Michelle Carey,Psychology,https://collaborate.princeton.edu/en/persons/rebecca-michelle-carey,Psychology
Rene A. Carmona,"Operations Research & Financial Engineering, Bendheim Center for Finance, High Meadows Environmental Institute, Mathematics, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/rene-a-carmona,"Operations Research Financial Engineering, Bendheim Center Finance, High Meadows Environmental Institute, Mathematics, Princeton Institute Computational Science and Engineering"
Allison Carruth,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/allison-carruth,Effron Center Study of America
Emily Ann Carter,Andlinger Center for Energy & the Environment,https://collaborate.princeton.edu/en/persons/emily-ann-carter,Andlinger Center Energy Environment
Natalia Castro Picon,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/natalia-castro-picon,Spanish Portuguese
Matias Damian Cattaneo,"Operations Research & Financial Engineering, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/matias-damian-cattaneo,"Operations Research Financial Engineering, Center Statistics Machine Learning"
Robert Joseph Cava,"Chemistry, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/robert-joseph-cava,"Chemistry, Princeton Materials Institute"
Michael Anthony Celia,"Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/michael-anthony-celia,"Civil Environmental Engineering, High Meadows Environmental Institute"
Miguel Angel Centeno,Sociology,https://collaborate.princeton.edu/en/persons/miguel-angel-centeno,Sociology
Mark Cerenzia,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/mark-cerenzia,Operations Research Financial Engineering
Rafael Cesar,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/rafael-cesar,Spanish Portuguese
Flora Champy,French & Italian,https://collaborate.princeton.edu/en/persons/flora-champy,French Italian
Michelle M. W. Chan,Molecular Biology,https://collaborate.princeton.edu/en/persons/michelle-m-w-chan,Molecular Biology
Ellen Bell Chances,Slavic Lang & Literatures,https://collaborate.princeton.edu/en/persons/ellen-bell-chances,Slavic Lang Literatures
Michelle C. Chang,Chemistry,https://collaborate.princeton.edu/en/persons/michelle-c-chang,Chemistry
Sun-Yung Alice Chang,Mathematics,https://collaborate.princeton.edu/en/persons/sun-yung-alice-chang,Mathematics
Sarangan Lakshminarasimha Chari,Chemistry,https://collaborate.princeton.edu/en/persons/sarangan-lakshminarasimha-chari,Chemistry
Sylvain Chassang,Economics,https://collaborate.princeton.edu/en/persons/sylvain-chassang,Economics
Zahid Rafiq Chaudhary,English,https://collaborate.princeton.edu/en/persons/zahid-rafiq-chaudhary,English
Saptarshi Chaudhuri,Physics,https://collaborate.princeton.edu/en/persons/saptarshi-chaudhuri,Physics
Bernard Chazelle,"Computer Science, Mathematics",https://collaborate.princeton.edu/en/persons/bernard-chazelle,"Computer Science, Mathematics"
Danqi Chen,Computer Science,https://collaborate.princeton.edu/en/persons/danqi-chen,Computer Science
Janet Y. Chen,History,https://collaborate.princeton.edu/en/persons/janet-y-chen,History
Minjie Chen,"Electrical and Computer Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/minjie-chen,"Electrical and Computer Engineering, Andlinger Center Energy Environment"
Anne Cheng,English,https://collaborate.princeton.edu/en/persons/anne-cheng,English
Katie Chenoweth,French & Italian,https://collaborate.princeton.edu/en/persons/katie-chenoweth,French Italian
Divya Cherian,History,https://collaborate.princeton.edu/en/persons/divya-cherian,History
Lawrence W. Cheuk,Physics,https://collaborate.princeton.edu/en/persons/lawrence-w-cheuk,Physics
Caroline Cheung,Classics,https://collaborate.princeton.edu/en/persons/caroline-cheung,Classics
Andrew Chignell,Religion,https://collaborate.princeton.edu/en/persons/andrew-chignell,Religion
Paul J. Chirik,Chemistry,https://collaborate.princeton.edu/en/persons/paul-j-chirik,Chemistry
Ksenia Chizhova,East Asian Studies,https://collaborate.princeton.edu/en/persons/ksenia-chizhova,East Asian Studies
Carolyn Choi,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/carolyn-choi,Effron Center Study of America
Stephen Y. Chou,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/stephen-y-chou,"Electrical and Computer Engineering, Princeton Materials Institute"
Edgar Yazid Choueiri,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/edgar-yazid-choueiri,Mechanical Aerospace Engineering
Heather Christie,Molecular Biology,https://collaborate.princeton.edu/en/persons/heather-christie,Molecular Biology
Maria Chudnovsky,Mathematics,https://collaborate.princeton.edu/en/persons/maria-chudnovsky,Mathematics
Steven Chung,East Asian Studies,https://collaborate.princeton.edu/en/persons/steven-chung,East Asian Studies
Christopher F. Chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/christopher-f-chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences"
Gabriel Maurice Alexander Citron,Religion,https://collaborate.princeton.edu/en/persons/gabriel-maurice-alexander-citron,Religion
Corey Clapp,Chemistry,https://collaborate.princeton.edu/en/persons/corey-clapp,Chemistry
Catherine Clune-Taylor,Gender & Sexuality Studies Pgm,https://collaborate.princeton.edu/en/persons/catherine-clune-taylor,Gender Sexuality Studies Pgm
Fernando Coda Marques,Mathematics,https://collaborate.princeton.edu/en/persons/fernando-coda-marques,Mathematics
Daniel Joseph Cohen,"Mechanical & Aerospace Engineering, Chemical & Biological Engineering, Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/daniel-joseph-cohen,"Mechanical Aerospace Engineering, Chemical Biological Engineering, Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research, Princeton Materials Institute"
